Discipline,HPSAID,HPSAName,DesignationType,PrimaryStateName,CountyName,HPSAFTEShort,HPSAScore,PCMCTAScore,Status,RuralStatus,DesignationDate,UpdateDate
Dental Health,6042679626,Creek Valley Health Clinic,Federally Qualified Health Center,Arizona,"Mohave County, AZ",,25,NA,Designated,Rural,02/11/2020,09/11/2021
Primary Care,1042220313,Hau'Pal (Red Tail Hawk) Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,18,13,Designated,Non-Rural,02/11/2020,09/11/2021
Mental Health,7043374594,Hau'Pal (Red Tail Hawk) Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,16,NA,Designated,Non-Rural,02/11/2020,09/11/2021
Dental Health,6041180918,Hau'Pal (Red Tail Hawk) Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,19,NA,Designated,Non-Rural,02/11/2020,09/11/2021
Primary Care,1042164038,Native Health - NHW Community Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,18,16,Designated,Non-Rural,02/11/2020,09/11/2021
Mental Health,7049990474,Native Health - NHW Community Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,16,NA,Designated,Non-Rural,10/26/2002,09/11/2021
Dental Health,60499904E5,Native Health - NHW Community Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,19,NA,Designated,Non-Rural,10/26/2002,09/11/2021
Primary Care,10499904M3,SALT RIVER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,18,14,Designated,Non-Rural,10/26/2002,09/11/2021
Mental Health,7049990462,SALT RIVER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,16,NA,Designated,Non-Rural,09/14/2007,09/11/2021
Dental Health,60499904B7,SALT RIVER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,19,NA,Designated,Non-Rural,09/14/2007,09/11/2021
Primary Care,1042790150,Maricopa County Special Health Care District,Federally Qualified Health Center,Arizona,"Maricopa County, AZ",,21,19,Designated,Non-Rural,02/11/2020,09/11/2021
Mental Health,7042758917,Maricopa County Special Health Care District,Federally Qualified Health Center,Arizona,"Maricopa County, AZ",,21,NA,Designated,Non-Rural,02/11/2020,09/11/2021
Dental Health,6045870788,Maricopa County Special Health Care District,Federally Qualified Health Center,Arizona,"Maricopa County, AZ",,25,NA,Designated,Non-Rural,02/11/2020,09/11/2021
Primary Care,10499904P2,Wesley Community Center Inc,Federally Qualified Health Center,Arizona,"Maricopa County, AZ",,21,20,Designated,Non-Rural,03/01/2009,09/11/2021
Mental Health,7049990459,Wesley Community Center Inc,Federally Qualified Health Center,Arizona,"Maricopa County, AZ",,17,NA,Designated,Non-Rural,03/01/2009,09/11/2021
Dental Health,60499904B4,Wesley Community Center Inc,Federally Qualified Health Center,Arizona,"Maricopa County, AZ",,25,NA,Designated,Non-Rural,03/01/2009,09/11/2021
Primary Care,1049774293,WHITE MOUNTAIN REGIONAL MEDICAL CENTER CLINIC,Rural Health Clinic,Arizona,"Apache County, AZ",,15,19,Designated,Rural,08/18/2019,09/11/2021
Mental Health,7044517303,WHITE MOUNTAIN REGIONAL MEDICAL CENTER CLINIC,Rural Health Clinic,Arizona,"Apache County, AZ",,18,NA,Designated,Rural,08/18/2019,09/11/2021
Dental Health,6048090344,WHITE MOUNTAIN REGIONAL MEDICAL CENTER CLINIC,Rural Health Clinic,Arizona,"Apache County, AZ",,15,NA,Designated,Rural,08/18/2019,09/11/2021
Primary Care,10499904C1,AJO COMMUNITY HEALTH CENTER,Federally Qualified Health Center,Arizona,"Pima County, AZ",,17,18,Designated,Rural,08/28/2003,09/11/2021
Mental Health,7049990427,AJO COMMUNITY HEALTH CENTER,Federally Qualified Health Center,Arizona,"Pima County, AZ",,13,NA,Designated,Rural,08/28/2003,09/11/2021
Dental Health,6049990476,AJO COMMUNITY HEALTH CENTER,Federally Qualified Health Center,Arizona,"Pima County, AZ",,17,NA,Designated,Rural,08/28/2003,09/11/2021
Dental Health,60499904GC,SAN LUIS WALK-IN CLINIC URGENT CARE & FAMILY CENTE,Rural Health Clinic,Arizona,"Yuma County, AZ",,17,NA,Withdrawn,Non-Rural,10/08/2014,04/05/2023
Primary Care,1045533014,PLEASANT VALLEY COMM  MEDICAL CENTER,Rural Health Clinic,Arizona,"Gila County, AZ",,20,21,Designated,Rural,09/18/2020,09/11/2021
Mental Health,7041690973,PLEASANT VALLEY COMM  MEDICAL CENTER,Rural Health Clinic,Arizona,"Gila County, AZ",,18,NA,Designated,Rural,09/18/2020,09/11/2021
Dental Health,6042093850,PLEASANT VALLEY COMM  MEDICAL CENTER,Rural Health Clinic,Arizona,"Gila County, AZ",,19,NA,Designated,Rural,09/18/2020,09/11/2021
Primary Care,1045528347,COBRE VALLEY FAMILY PRACTICE,Rural Health Clinic,Arizona,"Gila County, AZ",,19,20,Designated,Rural,09/18/2020,09/11/2021
Mental Health,7042935031,COBRE VALLEY FAMILY PRACTICE,Rural Health Clinic,Arizona,"Gila County, AZ",,18,NA,Designated,Rural,09/18/2020,09/11/2021
Dental Health,6041687503,COBRE VALLEY FAMILY PRACTICE,Rural Health Clinic,Arizona,"Gila County, AZ",,19,NA,Designated,Rural,09/18/2020,09/11/2021
Primary Care,1044040784,COBRE VALLEY SURGICAL SERVICES,Rural Health Clinic,Arizona,"Gila County, AZ",,19,20,Designated,Rural,09/18/2020,09/11/2021
Mental Health,7041957415,COBRE VALLEY SURGICAL SERVICES,Rural Health Clinic,Arizona,"Gila County, AZ",,18,NA,Designated,Rural,09/18/2020,09/11/2021
Dental Health,6046666487,COBRE VALLEY SURGICAL SERVICES,Rural Health Clinic,Arizona,"Gila County, AZ",,19,NA,Designated,Rural,09/18/2020,09/11/2021
Primary Care,1041131224,TONTO BASIN CLINIC,Rural Health Clinic,Arizona,"Gila County, AZ",,17,18,Designated,Rural,09/18/2020,09/11/2021
Mental Health,7049512363,TONTO BASIN CLINIC,Rural Health Clinic,Arizona,"Gila County, AZ",,16,NA,Designated,Rural,09/18/2020,09/11/2021
Dental Health,6041980442,TONTO BASIN CLINIC,Rural Health Clinic,Arizona,"Gila County, AZ",,15,NA,Designated,Rural,09/18/2020,09/11/2021
Primary Care,10499904K4,Tuba City Regional Healthcare Corporation,Federally Qualified Health Center,Arizona,"Coconino County, AZ",,21,21,Designated,Rural,10/26/2002,09/11/2021
Mental Health,7049990445,Tuba City Regional Healthcare Corporation,Federally Qualified Health Center,Arizona,"Coconino County, AZ",,21,NA,Designated,Rural,10/26/2002,09/11/2021
Dental Health,6049990495,Tuba City Regional Healthcare Corporation,Federally Qualified Health Center,Arizona,"Coconino County, AZ",,21,NA,Designated,Rural,10/26/2002,09/11/2021
Primary Care,10499904B5,"Sun Life Family Health Center, Inc",Federally Qualified Health Center,Arizona,"Pinal County, AZ",,19,19,Designated,Non-Rural,08/29/2003,09/11/2021
Mental Health,7049990420,"Sun Life Family Health Center, Inc",Federally Qualified Health Center,Arizona,"Pinal County, AZ",,22,NA,Designated,Non-Rural,08/29/2003,09/11/2021
Dental Health,6049990469,"Sun Life Family Health Center, Inc",Federally Qualified Health Center,Arizona,"Pinal County, AZ",,25,NA,Designated,Non-Rural,08/29/2003,09/11/2021
Primary Care,1043879819,Gila Bend Health Station,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,20,16,Designated,Rural,09/18/2020,09/11/2021
Mental Health,7044505831,Gila Bend Health Station,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,15,NA,Designated,Rural,09/18/2020,09/11/2021
Dental Health,6044012415,Gila Bend Health Station,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,23,NA,Designated,Rural,09/18/2020,09/11/2021
Primary Care,1048899580,Camp Verde Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Yavapai County, AZ",,19,13,Withdrawn,Rural,09/18/2020,10/06/2023
Mental Health,7048312372,Camp Verde Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Yavapai County, AZ",,15,NA,Withdrawn,Rural,09/18/2020,10/06/2023
Dental Health,6048302794,Camp Verde Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Yavapai County, AZ",,21,NA,Withdrawn,Rural,09/18/2020,10/06/2023
Primary Care,10499904QE,COPPER QUEEN COMMUNITY HOSPITAL-PALOMINAS HEREFORD,Rural Health Clinic,Arizona,"Cochise County, AZ",,16,17,Designated,Non-Rural,02/28/2012,09/11/2021
Mental Health,704999047V,COPPER QUEEN COMMUNITY HOSPITAL-PALOMINAS HEREFORD,Rural Health Clinic,Arizona,"Cochise County, AZ",,17,NA,Designated,Non-Rural,02/28/2012,09/11/2021
Dental Health,60499904FL,COPPER QUEEN COMMUNITY HOSPITAL-PALOMINAS HEREFORD,Rural Health Clinic,Arizona,"Cochise County, AZ",,15,NA,Designated,Non-Rural,02/28/2012,09/11/2021
Primary Care,1042726231,Fort Mohave Alcohol Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Mohave County, AZ",,18,13,Designated,Rural,09/18/2020,09/11/2021
Mental Health,7045924376,Fort Mohave Alcohol Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Mohave County, AZ",,14,NA,Designated,Rural,09/18/2020,09/11/2021
Dental Health,6045359202,Fort Mohave Alcohol Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Mohave County, AZ",,19,NA,Designated,Rural,09/18/2020,09/11/2021
Primary Care,1047182788,Gila River Criminal Justice Facility,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pinal County, AZ",,18,13,Designated,Rural,09/18/2020,09/11/2021
Mental Health,7048223181,Gila River Criminal Justice Facility,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pinal County, AZ",,16,NA,Designated,Rural,09/18/2020,09/11/2021
Dental Health,6041457487,Gila River Criminal Justice Facility,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pinal County, AZ",,19,NA,Designated,Rural,09/18/2020,09/11/2021
Primary Care,1049423468,Casa Blanca Health Station,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pinal County, AZ",,18,13,Designated,Non-Rural,09/18/2020,09/11/2021
Mental Health,7044891203,Casa Blanca Health Station,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pinal County, AZ",,16,NA,Designated,Non-Rural,09/18/2020,09/11/2021
Dental Health,6049759802,Casa Blanca Health Station,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pinal County, AZ",,19,NA,Designated,Non-Rural,09/18/2020,09/11/2021
Primary Care,1043297867,San Tan Behavioral Health Services,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,18,13,Designated,Non-Rural,09/18/2020,09/11/2021
Mental Health,7048490190,San Tan Behavioral Health Services,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,16,NA,Designated,Non-Rural,09/18/2020,09/11/2021
Dental Health,6047560475,San Tan Behavioral Health Services,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Maricopa County, AZ",,19,NA,Designated,Non-Rural,09/18/2020,09/11/2021
Primary Care,1044869955,Clarence Wesley Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Graham County, AZ",,20,21,Designated,Rural,09/18/2020,09/11/2021
Mental Health,7044436397,Clarence Wesley Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Graham County, AZ",,19,NA,Designated,Rural,09/18/2020,09/11/2021
Dental Health,6047798275,Clarence Wesley Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Graham County, AZ",,23,NA,Designated,Rural,09/18/2020,09/11/2021
Primary Care,1041025557,White Mountain Apache Behavioral Health Services (Guidance Center),"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",,20,21,Designated,Rural,09/18/2020,09/11/2021
Mental Health,7047137041,White Mountain Apache Behavioral Health Services (Guidance Center),"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",,20,NA,Designated,Rural,09/18/2020,09/11/2021
Dental Health,6047891645,White Mountain Apache Behavioral Health Services (Guidance Center),"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",,23,NA,Designated,Rural,09/18/2020,09/11/2021
Primary Care,1046532256,Dinnebito Health Station,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",,19,22,Designated,Rural,09/18/2020,09/11/2021
Mental Health,7048157114,Dinnebito Health Station,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",,19,NA,Designated,Rural,09/18/2020,09/11/2021
Dental Health,6042210808,Dinnebito Health Station,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",,21,NA,Designated,Rural,09/18/2020,09/11/2021
Primary Care,1044547077,Cameron Dental Clinic,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",,16,19,Designated,Rural,09/18/2020,09/11/2021
Mental Health,7043191095,Cameron Dental Clinic,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",,18,NA,Designated,Rural,09/18/2020,09/11/2021
Dental Health,6046018066,Cameron Dental Clinic,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",,19,NA,Designated,Rural,09/18/2020,09/11/2021
Primary Care,10499904GO,"SAN LUIS WALK-IN CLINIC, INC. - FAMILY & ADULT CEN",Rural Health Clinic,Arizona,"Yuma County, AZ",,12,19,Withdrawn,Non-Rural,06/29/2014,04/05/2023
Mental Health,7049990483,"SAN LUIS WALK-IN CLINIC, INC. - FAMILY & ADULT CEN",Rural Health Clinic,Arizona,"Yuma County, AZ",,18,NA,Withdrawn,Non-Rural,06/29/2014,04/05/2023
Dental Health,60499904GA,"SAN LUIS WALK-IN CLINIC, INC. - FAMILY & ADULT CEN",Rural Health Clinic,Arizona,"Yuma County, AZ",,17,NA,Withdrawn,Non-Rural,06/29/2014,04/05/2023
Primary Care,10499904B4,"Marana Health Center, Inc.",Federally Qualified Health Center,Arizona,"Pima County, AZ",,19,19,Designated,Non-Rural,07/21/2003,09/11/2021
Mental Health,7049990421,"Marana Health Center, Inc.",Federally Qualified Health Center,Arizona,"Pima County, AZ",,20,NA,Designated,Non-Rural,08/28/2003,09/11/2021
Dental Health,6049990470,"Marana Health Center, Inc.",Federally Qualified Health Center,Arizona,"Pima County, AZ",,25,NA,Designated,Non-Rural,08/28/2003,09/11/2021
Primary Care,1046632986,CANYON DAY JUNIOR HIGH SCHOOL,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Gila County, AZ",,20,22,Designated,Rural,08/18/2019,09/11/2021
Mental Health,7047248460,CANYON DAY JUNIOR HIGH SCHOOL,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Gila County, AZ",,20,NA,Designated,Rural,08/18/2019,09/11/2021
Dental Health,6049282849,CANYON DAY JUNIOR HIGH SCHOOL,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Gila County, AZ",,23,NA,Designated,Rural,08/18/2019,09/11/2021
Primary Care,10499904B8,"EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER, INC.",Federally Qualified Health Center,Arizona,"Pima County, AZ",,21,19,Designated,Non-Rural,08/28/2003,09/11/2021
Mental Health,7049990424,"EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER, INC.",Federally Qualified Health Center,Arizona,"Pima County, AZ",,21,NA,Designated,Non-Rural,08/28/2003,09/11/2021
Dental Health,6049990473,"EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER, INC.",Federally Qualified Health Center,Arizona,"Pima County, AZ",,25,NA,Designated,Non-Rural,08/28/2003,09/11/2021
Primary Care,1046294197,SUPERIOR CLINIC,Rural Health Clinic,Arizona,"Pinal County, AZ",,16,16,Designated,Rural,12/22/2020,09/11/2021
Mental Health,7047990819,SUPERIOR CLINIC,Rural Health Clinic,Arizona,"Pinal County, AZ",,17,NA,Designated,Rural,12/22/2020,09/11/2021
Dental Health,6042080826,SUPERIOR CLINIC,Rural Health Clinic,Arizona,"Pinal County, AZ",,15,NA,Designated,Rural,12/22/2020,09/11/2021
Primary Care,1049179948,KEARNY CLINIC,Rural Health Clinic,Arizona,"Pinal County, AZ",,16,18,Designated,Rural,12/22/2020,09/11/2021
Mental Health,7044353881,KEARNY CLINIC,Rural Health Clinic,Arizona,"Pinal County, AZ",,15,NA,Designated,Rural,12/22/2020,09/11/2021
Dental Health,6044429401,KEARNY CLINIC,Rural Health Clinic,Arizona,"Pinal County, AZ",,15,NA,Designated,Rural,12/22/2020,09/11/2021
Primary Care,1047485365,COBRE VALLEY RED ROCK CLINIC,Rural Health Clinic,Arizona,"Gila County, AZ",,19,20,Designated,Rural,12/22/2020,09/11/2021
Mental Health,7049076362,COBRE VALLEY RED ROCK CLINIC,Rural Health Clinic,Arizona,"Gila County, AZ",,18,NA,Designated,Rural,12/22/2020,09/11/2021
Dental Health,6042479643,COBRE VALLEY RED ROCK CLINIC,Rural Health Clinic,Arizona,"Gila County, AZ",,19,NA,Designated,Rural,12/22/2020,09/11/2021
Mental Health,7049338657,BOUSE MEDICAL CLINIC,Rural Health Clinic,Arizona,"La Paz County, AZ",,17,NA,Withdrawn,Rural,08/18/2019,02/05/2024
Dental Health,6045276974,BOUSE MEDICAL CLINIC,Rural Health Clinic,Arizona,"La Paz County, AZ",,19,NA,Withdrawn,Rural,08/18/2019,02/05/2024
Primary Care,10499904QC,COPPER QUEEN COMMUNITY HOSPITAL-DOUGLAS RHC,Rural Health Clinic,Arizona,"Cochise County, AZ",,16,21,Designated,Rural,02/28/2012,09/11/2021
Mental Health,704999047T,COPPER QUEEN COMMUNITY HOSPITAL-DOUGLAS RHC,Rural Health Clinic,Arizona,"Cochise County, AZ",,19,NA,Designated,Rural,02/28/2012,09/11/2021
Dental Health,60499904FJ,COPPER QUEEN COMMUNITY HOSPITAL-DOUGLAS RHC,Rural Health Clinic,Arizona,"Cochise County, AZ",,19,NA,Designated,Rural,02/28/2012,09/11/2021
Primary Care,1047222631,SANTA ROSA,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pima County, AZ",,19,20,Designated,Rural,08/18/2019,09/11/2021
Mental Health,7043073548,SANTA ROSA,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pima County, AZ",,20,NA,Designated,Rural,08/18/2019,09/11/2021
Dental Health,6047471665,SANTA ROSA,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pima County, AZ",,22,NA,Designated,Rural,08/18/2019,09/11/2021
Primary Care,10499904K5,SAN XAVIER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pima County, AZ",,19,16,Designated,Non-Rural,10/26/2002,09/11/2021
Mental Health,704999047B,SAN XAVIER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pima County, AZ",,20,NA,Designated,Non-Rural,06/10/2010,09/11/2021
Dental Health,60499904EJ,SAN XAVIER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pima County, AZ",,22,NA,Designated,Non-Rural,06/10/2010,09/11/2021
Primary Care,10499904J8,SAN SIMON HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pima County, AZ",,20,19,Designated,Rural,10/26/2002,09/11/2021
Mental Health,704999047D,SAN SIMON HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pima County, AZ",,19,NA,Designated,Rural,06/18/2010,09/11/2021
Dental Health,60499904EL,SAN SIMON HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pima County, AZ",,24,NA,Designated,Rural,06/18/2010,09/11/2021
Primary Care,10499904P4,TONHC SELLS HOSP,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pima County, AZ",,21,19,Designated,Rural,12/01/2007,09/11/2021
Mental Health,7049990465,TONHC SELLS HOSP,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pima County, AZ",,20,NA,Designated,Rural,12/01/2007,09/11/2021
Dental Health,60499904C1,TONHC SELLS HOSP,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pima County, AZ",,26,NA,Designated,Rural,12/01/2007,09/11/2021
Dental Health,604999041B,"Valle Del Sol, Inc.",Federally Qualified Health Center,Arizona,"Maricopa County, AZ",,25,NA,Designated,Non-Rural,07/25/2014,09/11/2021
Primary Care,1045744892,EAST FORK LUTHERAN SCHOOL,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",,20,22,Designated,Rural,08/18/2019,09/11/2021
Mental Health,7047870908,EAST FORK LUTHERAN SCHOOL,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",,20,NA,Designated,Rural,08/18/2019,09/11/2021
Dental Health,6043906683,EAST FORK LUTHERAN SCHOOL,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",,23,NA,Designated,Rural,08/18/2019,09/11/2021
Primary Care,10499904Q4,COMMUNITY HOSPITAL CLINIC - WICKENBURG,Rural Health Clinic,Arizona,"Maricopa County, AZ",,16,13,Withdrawn,Rural,05/23/2011,04/05/2023
Mental Health,7049990480,COMMUNITY HOSPITAL CLINIC - WICKENBURG,Rural Health Clinic,Arizona,"Maricopa County, AZ",,17,NA,Withdrawn,Rural,05/23/2011,04/05/2023
Dental Health,60499904FX,COMMUNITY HOSPITAL CLINIC - WICKENBURG,Rural Health Clinic,Arizona,"Maricopa County, AZ",,15,NA,Withdrawn,Rural,05/23/2011,04/05/2023
Primary Care,1049357185,JOHN F. KENNEDY SCHOOL,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Gila County, AZ",,21,23,Designated,Rural,08/18/2019,09/12/2021
Mental Health,7041949000,JOHN F. KENNEDY SCHOOL,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",,20,NA,Designated,Rural,08/18/2019,09/12/2021
Dental Health,6042421598,JOHN F. KENNEDY SCHOOL,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",,23,NA,Designated,Rural,08/18/2019,09/12/2021
Primary Care,1049268423,San Xavier Dental Clinic,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pima County, AZ",,19,16,Designated,Non-Rural,08/18/2019,09/12/2021
Mental Health,7044217829,San Xavier Dental Clinic,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pima County, AZ",,20,NA,Designated,Non-Rural,08/18/2019,09/12/2021
Dental Health,6042447200,San Xavier Dental Clinic,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Pima County, AZ",,22,NA,Designated,Non-Rural,08/18/2019,09/12/2021
Primary Care,10499904QD,COPPER QUEEN COMMUNITY HOSPITAL-BISBEE RHC,Rural Health Clinic,Arizona,"Cochise County, AZ",,15,19,Designated,Rural,02/28/2012,09/12/2021
Mental Health,704999047U,COPPER QUEEN COMMUNITY HOSPITAL-BISBEE RHC,Rural Health Clinic,Arizona,"Cochise County, AZ",,18,NA,Designated,Rural,02/28/2012,09/12/2021
Dental Health,60499904FK,COPPER QUEEN COMMUNITY HOSPITAL-BISBEE RHC,Rural Health Clinic,Arizona,"Cochise County, AZ",,17,NA,Designated,Rural,02/28/2012,09/12/2021
Mental Health,7046939617,GILA VALLEY CLINIC,Rural Health Clinic,Arizona,"Graham County, AZ",,18,NA,Designated,Rural,04/22/2021,09/12/2021
Dental Health,6048025384,GILA VALLEY CLINIC,Rural Health Clinic,Arizona,"Graham County, AZ",,17,NA,Designated,Rural,04/22/2021,09/12/2021
Primary Care,10499904P1,"NATIVE AMERICAN COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center,Arizona,"Maricopa County, AZ",,19,19,Designated,Non-Rural,03/01/2009,09/12/2021
Mental Health,7049990458,"NATIVE AMERICAN COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center,Arizona,"Maricopa County, AZ",,18,NA,Designated,Non-Rural,03/01/2009,09/12/2021
Dental Health,60499904B3,"NATIVE AMERICAN COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center,Arizona,"Maricopa County, AZ",,25,NA,Designated,Non-Rural,03/01/2009,09/12/2021
Primary Care,1048179756,MCNARY SCH,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Apache County, AZ",,20,20,Designated,Rural,08/18/2019,09/12/2021
Mental Health,7042367818,MCNARY SCH,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Apache County, AZ",,20,NA,Designated,Rural,08/18/2019,09/12/2021
Dental Health,6042010682,MCNARY SCH,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Apache County, AZ",,23,NA,Designated,Rural,08/18/2019,09/12/2021
Primary Care,10499904QX,Supai,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",,13,10,Designated,Rural,08/26/2015,09/12/2021
Mental Health,7049990486,Supai,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",,10,NA,Designated,Rural,08/26/2015,09/12/2021
Dental Health,60499904GD,Supai,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Coconino County, AZ",,14,NA,Designated,Rural,08/26/2015,09/12/2021
Primary Care,1046362984,Cradleboard Elementary School,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",,20,21,Designated,Rural,08/18/2019,09/12/2021
Mental Health,7046796413,Cradleboard Elementary School,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",,20,NA,Designated,Rural,08/18/2019,09/12/2021
Dental Health,6042144212,Cradleboard Elementary School,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",,23,NA,Designated,Rural,08/18/2019,09/12/2021
Primary Care,1049108877,Mary V. Riley Seven Mile Sch,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",,20,22,Designated,Rural,08/18/2019,09/12/2021
Mental Health,7041819144,Mary V. Riley Seven Mile Sch,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",,20,NA,Designated,Rural,08/18/2019,09/12/2021
Dental Health,6047436201,Mary V. Riley Seven Mile Sch,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Navajo County, AZ",,23,NA,Designated,Rural,08/18/2019,09/12/2021
Primary Care,10699906HY,Fort Mojave Health Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",Arizona,"Mohave County, AZ",,18,13,Designated,Rural,10/26/2002,09/12/2021
